layer,P.layer,P.row,treat.1,Generation,ID,ecotype,treat,flt,height,diam,biomass,fruit,rm
6,6,6_1,Leaf,Anc,941,Ler-0,Leaf,29,15.5,NA,29.4,47,FALSE
6,6,6_2,Nutrient1,Anc,961,Ler-0,Nutrient1,28,17.1,NA,22.5,60,FALSE
6,6,6_3,Drought,Anc,978,Ler-0,Drought,28,14.2,NA,34.3,56,FALSE
6,6,6_5,Nutrient2,Anc,986,Ler-0,Nutrient2,30,20.2,NA,69.6,39,FALSE
6,6,6_7,actr,Anc,998,Ler-0,actr2,30,26.3,3.2,131.5,135,FALSE
1,1,1_1,JA,Anc,5,Olympia-2,JA,44,NA,NA,NA,NA,FALSE
1,1,1_2,Salt1,Anc,22,Olympia-2,Salt1,46,26.7,7.4,66.6,54,FALSE
1,1,1_3,Salt2,Anc,39,Olympia-2,Salt2,42,27.3,8,100.1,51,FALSE
1,1,1_4,Cd2,Anc,53,Olympia-2,Cd2,41,29.9,6.2,55.2,73,FALSE
1,1,1_5,actr,Anc,59,Olympia-2,actr1,38,42.2,9,187,286,FALSE
1,1,1_6,Cd1,Anc,84,Olympia-2,Cd1,30,47.7,8.5,130.8,246,FALSE
1,1,1_7,JActr,Anc,89,Olympia-2,JActr,43,31.1,8,92.5,197,FALSE
2,2,2_1,Nutrient2,Anc,111,Olympia-2,Nutrient2,37,46,7.3,172.7,202,FALSE
2,2,2_2,actr,Anc,117,Olympia-2,actr2,30,44.3,5.1,46.9,123,FALSE
2,2,2_4,Drought,Anc,134,Olympia-2,Drought,34,40.3,NA,65.3,69,FALSE
2,2,2_5,Leaf,Anc,141,Olympia-2,Leaf,NA,26.5,7.3,56.9,115,FALSE
2,2,2_6,Nutrient1,Anc,159,Olympia-2,Nutrient1,44,33,NA,17.4,47,FALSE
3,3,3_1,JA,Anc,170,Olympia-2,JA,43,39.7,6.8,141.3,303,FALSE
3,3,3_2,Salt2,Anc,187,Olympia-2,Salt2,42,32.9,2.2,111.7,102,FALSE
3,3,3_3,Salt1,Anc,205,Olympia-2,Salt1,42,25.5,NA,52.5,46,FALSE
3,3,3_4,Cd2,Anc,213,Olympia-2,Cd2,49,41.2,5.5,101.2,189,FALSE
3,3,3_5,actr,Anc,237,Olympia-2,actr1,37,34.5,10.6,NA,256,FALSE
3,3,3_6,JActr,Anc,242,Olympia-2,JActr,34,41.2,2.6,124.1,256,FALSE
3,3,3_7,Cd1,Anc,265,Olympia-2,Cd1,45,40,6.5,89.4,128,FALSE
4,4,4_1,Drought,Anc,271,Olympia-2,Drought,34,37,NA,56.7,168,FALSE
4,4,4_3,Leaf,Anc,287,Olympia-2,Leaf,35,41.6,2.7,104.3,195,FALSE
4,4,4_4,Nutrient1,Anc,297,Olympia-2,Nutrient1,33,38.2,NA,81.5,141,FALSE
4,4,4_6,actr,Anc,311,Olympia-2,actr2,42,39.5,8,230.9,362,FALSE
4,4,4_7,Nutrient2,Anc,327,Olympia-2,Nutrient2,37,33,6,142.9,365,FALSE
5,5,5_1,Salt1,Anc,339,Olympia-2,Salt1,38,30.4,6,57.1,92,FALSE
5,5,5_2,JActr,Anc,352,Olympia-2,JActr,37,34.1,5.2,102.7,210,FALSE
5,5,5_3,Cd1,Anc,371,Olympia-2,Cd1,35,56,6,108.1,166,FALSE
5,5,5_4,Cd2,Anc,384,Olympia-2,Cd2,34,44,6.2,100.2,162,FALSE
5,5,5_5,JA,Anc,398,Olympia-2,JA,41,33.5,4.4,71.6,181,FALSE
5,5,5_6,Salt2,Anc,408,Olympia-2,Salt2,46,22,5,28.9,11,FALSE
5,5,5_7,actr,Anc,423,Olympia-2,actr1,34,44,7.8,191.7,365,FALSE
7,7,7_1,Cd2,Anc,439,Olympia-2,Cd2,30,34,5.5,89.3,101,FALSE
7,7,7_2,Cd1,Anc,452,Olympia-2,Cd1,35,45.3,5.6,120.5,198,FALSE
7,7,7_3,JA,Anc,475,Olympia-2,JA,35,31.4,1.3,36.5,68,FALSE
7,7,7_4,actr,Anc,481,Olympia-2,actr1,39,39,5.1,85.8,256,FALSE
7,7,7_5,Salt1,Anc,492,Olympia-2,Salt1,42,27.8,9.8,76.1,80,FALSE
7,7,7_6,JActr,Anc,518,Olympia-2,JActr,34,36.5,2.5,70.2,87,FALSE
7,7,7_7,Salt2,Anc,530,Olympia-2,Salt2,39,29.8,8.2,94.8,77,FALSE
8,8,8_1,Drought,Anc,537,Olympia-2,Drought,32,29.3,NA,65.2,129,FALSE
8,8,8_2,Nutrient1,Anc,556,Olympia-2,Nutrient1,39,15.3,NA,13.2,76,FALSE
8,8,8_3,Nutrient2,Anc,574,Olympia-2,Nutrient2,44,43.4,4.3,156,221,FALSE
8,8,8_6,Leaf,Anc,577,Olympia-2,Leaf,39,24.5,2.5,29.2,86,FALSE
8,8,8_7,actr,Anc,599,Olympia-2,actr2,42,38.2,8,141.9,258,FALSE
9,9,9_1,actr,Anc,607,Olympia-2,actr1,39,41,6.5,147.3,258,FALSE
9,9,9_2,Cd1,Anc,627,Olympia-2,Cd1,35,27,7,128.9,161,FALSE
9,9,9_3,Cd2,Anc,644,Olympia-2,Cd2,37,40.5,7.2,126.1,165,FALSE
9,9,9_4,Salt1,Anc,648,Olympia-2,Salt1,39,29.2,NA,70.9,142,FALSE
9,9,9_5,Salt2,Anc,670,Olympia-2,Salt2,35,40,6,87.6,133,FALSE
9,9,9_6,JA,Anc,684,Olympia-2,JA,25,NA,NA,NA,NA,FALSE
9,9,9_7,JActr,Anc,695,Olympia-2,JActr,38,40.4,9,175,211,FALSE
10,10,10_1,actr,Anc,705,Olympia-2,actr2,37,33,NA,84.5,245,FALSE
10,10,10_2,Drought,Anc,715,Olympia-2,Drought,49,36.8,4,102.5,151,FALSE
10,10,10_3,Nutrient2,Anc,740,Olympia-2,Nutrient2,43,NA,NA,NA,NA,FALSE
10,10,10_4,Leaf,Anc,751,Olympia-2,Leaf,37,31.5,NA,82.4,220,FALSE
10,10,10_5,Nutrient1,Anc,765,Olympia-2,Nutrient1,34,38.9,6.7,134.4,175,FALSE
11,11,11_1,actr,Anc,775,Olympia-2,actr1,32,38.6,5.1,181.4,203,FALSE
11,11,11_2,JActr,Anc,787,Olympia-2,JActr,37,37,9.5,182.4,143,FALSE
11,11,11_3,JA,Anc,806,Olympia-2,JA,35,39.2,5.5,328.8,447,FALSE
11,11,11_4,Cd2,Anc,826,Olympia-2,Cd2,36,40.2,4.3,71.8,156,FALSE
11,11,11_5,Salt1,Anc,835,Olympia-2,Salt1,37,39.8,7.2,106.44,188,FALSE
11,11,11_6,Salt2,Anc,846,Olympia-2,Salt2,35,34.3,5.5,159.7,67,FALSE
11,11,11_7,Cd1,Anc,860,Olympia-2,Cd1,31,41.2,7.2,272.7,298,FALSE
12,12,12_3,Drought,Anc,872,Olympia-2,Drought,31,35.1,2.5,113.8,223,FALSE
12,12,12_4,Nutrient2,Anc,895,Olympia-2,Nutrient2,35,35.3,6.5,307.4,458,FALSE
12,12,12_5,actr,Anc,907,Olympia-2,actr2,36,43.2,6.5,210,283,FALSE
12,12,12_6,Leaf,Anc,917,Olympia-2,Leaf,35,40.6,5.6,99.4,198,FALSE
12,12,12_7,Nutrient1,Anc,929,Olympia-2,Nutrient1,40,40.3,4.3,104.2,192,FALSE
6,6,6_1,Leaf,Anc,949,Olympia-2,Leaf,40,36,7,77.6,241,FALSE
6,6,6_2,Nutrient1,Anc,954,Olympia-2,Nutrient1,33,33,NA,51.4,122,FALSE
6,6,6_3,Drought,Anc,975,Olympia-2,Drought,33,36,NA,25.7,67,FALSE
6,6,6_5,Nutrient2,Anc,993,Olympia-2,Nutrient2,35,NA,NA,140.7,NA,FALSE
6,6,6_7,actr,Anc,1003,Olympia-2,actr2,38,48,8.5,281.6,429,FALSE
1,1,1_1,JA,Anc,10,Sap-0,JA,39,27.5,2.5,84.8,93,FALSE
1,1,1_2,Salt1,Anc,28,Sap-0,Salt1,40,33,6.7,110.6,105,FALSE
1,1,1_3,Salt2,Anc,32,Sap-0,Salt2,44,24.3,7.5,166.4,46,FALSE
1,1,1_4,Cd2,Anc,46,Sap-0,Cd2,58,20.3,NA,49.3,10,FALSE
1,1,1_5,actr,Anc,70,Sap-0,actr1,43,34,3.5,61.6,37,FALSE
1,1,1_6,Cd1,Anc,78,Sap-0,Cd1,44,29,4.8,73.2,50,FALSE
1,1,1_7,JActr,Anc,92,Sap-0,JActr,48,40,5.1,104.1,117,FALSE
2,2,2_1,Nutrient2,Anc,101,Sap-0,Nutrient2,52,28.2,NA,41.2,58,FALSE
2,2,2_2,actr,Anc,118,Sap-0,actr2,39,23.7,2.2,12.3,39,FALSE
2,2,2_4,Drought,Anc,138,Sap-0,Drought,38,25.3,0.8,21.7,49,FALSE
2,2,2_5,Leaf,Anc,144,Sap-0,Leaf,53,31,NA,34.9,75,FALSE
2,2,2_6,Nutrient1,Anc,164,Sap-0,Nutrient1,58,13.7,NA,4.8,11,FALSE
3,3,3_1,JA,Anc,182,Sap-0,JA,37,36,NA,78.9,78,FALSE
3,3,3_2,Salt2,Anc,192,Sap-0,Salt2,55,21.2,4.5,60.7,2,FALSE
3,3,3_3,Salt1,Anc,200,Sap-0,Salt1,46,28.8,6,119,61,FALSE
3,3,3_4,Cd2,Anc,218,Sap-0,Cd2,37,46.3,7.3,NA,138,FALSE
3,3,3_5,actr,Anc,225,Sap-0,actr1,39,23,NA,47,28,FALSE
3,3,3_6,JActr,Anc,244,Sap-0,JActr,52,NA,NA,35.8,NA,FALSE
3,3,3_7,Cd1,Anc,257,Sap-0,Cd1,46,35.6,2.2,32.7,53,FALSE
4,4,4_1,Drought,Anc,276,Sap-0,Drought,51,39,3.1,64.3,68,FALSE
4,4,4_3,Leaf,Anc,285,Sap-0,Leaf,59,24.3,NA,34.9,25,FALSE
4,4,4_4,Nutrient1,Anc,296,Sap-0,Nutrient1,46,26.9,3,17.4,21,FALSE
4,4,4_6,actr,Anc,315,Sap-0,actr2,55,33.5,NA,23.3,33,FALSE
4,4,4_7,Nutrient2,Anc,326,Sap-0,Nutrient2,47,35.4,6.4,110.7,NA,FALSE
5,5,5_1,Salt1,Anc,343,Sap-0,Salt1,43,NA,NA,87.9,NA,FALSE
5,5,5_2,JActr,Anc,357,Sap-0,JActr,38,37.3,4.4,142.6,192,FALSE
5,5,5_3,Cd1,Anc,369,Sap-0,Cd1,40,37.3,4.3,105.4,136,FALSE
5,5,5_4,Cd2,Anc,391,Sap-0,Cd2,35,17.3,5.9,55.7,15,FALSE
5,5,5_5,JA,Anc,406,Sap-0,JA,58,40.7,2.6,98.6,112,FALSE
5,5,5_6,Salt2,Anc,418,Sap-0,Salt2,41,10.1,3.2,122.8,26,FALSE
5,5,5_7,actr,Anc,424,Sap-0,actr1,55,33.3,4.8,128.1,108,FALSE
7,7,7_1,Cd2,Anc,444,Sap-0,Cd2,NA,NA,NA,NA,NA,FALSE
7,7,7_2,Cd1,Anc,449,Sap-0,Cd1,43,30.5,5.6,71.4,22,FALSE
7,7,7_3,JA,Anc,463,Sap-0,JA,38,36.5,NA,59.5,85,FALSE
7,7,7_4,actr,Anc,490,Sap-0,actr1,44,41.2,NA,68.3,NA,FALSE
7,7,7_5,Salt1,Anc,493,Sap-0,Salt1,43,NA,NA,NA,NA,FALSE
7,7,7_6,JActr,Anc,512,Sap-0,JActr,38,29.3,NA,44.2,64,FALSE
7,7,7_7,Salt2,Anc,520,Sap-0,Salt2,51,18.3,NA,46.6,17,FALSE
8,8,8_1,Drought,Anc,542,Sap-0,Drought,37,27.4,3.3,55.8,44,FALSE
8,8,8_2,Nutrient1,Anc,550,Sap-0,Nutrient1,35,NA,NA,NA,NA,FALSE
8,8,8_3,Nutrient2,Anc,562,Sap-0,Nutrient2,42,24.7,NA,21.9,23,FALSE
8,8,8_6,Leaf,Anc,587,Sap-0,Leaf,38,NA,NA,89.8,NA,FALSE
8,8,8_7,actr,Anc,591,Sap-0,actr2,34,36,3,104.2,135,FALSE
9,9,9_1,actr,Anc,612,Sap-0,actr1,32,31,8,93,58,FALSE
9,9,9_2,Cd1,Anc,622,Sap-0,Cd1,36,NA,NA,45.9,0,FALSE
9,9,9_3,Cd2,Anc,639,Sap-0,Cd2,NA,27.3,6.7,122.6,90,FALSE
9,9,9_4,Salt1,Anc,652,Sap-0,Salt1,45,39.2,8,135.8,92,FALSE
9,9,9_5,Salt2,Anc,661,Sap-0,Salt2,41,30,NA,82.9,41,FALSE
9,9,9_6,JA,Anc,686,Sap-0,JA,57,32.5,NA,170,143,FALSE
9,9,9_7,JActr,Anc,690,Sap-0,JActr,43,40,7.5,152.7,132,FALSE
10,10,10_1,actr,Anc,710,Sap-0,actr2,39,43.8,7.8,167.7,154,FALSE
10,10,10_2,Drought,Anc,718,Sap-0,Drought,32,44.7,NA,91.3,67,FALSE
10,10,10_3,Nutrient2,Anc,734,Sap-0,Nutrient2,46,41,10,160,152,FALSE
10,10,10_4,Leaf,Anc,746,Sap-0,Leaf,58,43.5,7.6,419.8,77,FALSE
10,10,10_5,Nutrient1,Anc,770,Sap-0,Nutrient1,60,32.8,7.4,137.1,28,FALSE
11,11,11_1,actr,Anc,780,Sap-0,actr1,42,39,8.3,290.7,311,FALSE
11,11,11_2,JActr,Anc,790,Sap-0,JActr,59,29.6,4.7,363.1,321,FALSE
11,11,11_3,JA,Anc,810,Sap-0,JA,35,42.3,8.2,450.5,304,FALSE
11,11,11_4,Cd2,Anc,823,Sap-0,Cd2,58,27.3,5.5,165.2,2,FALSE
11,11,11_5,Salt1,Anc,838,Sap-0,Salt1,42,39.8,3.6,143,72,FALSE
11,11,11_6,Salt2,Anc,848,Sap-0,Salt2,NA,NA,6.7,196.6,NA,FALSE
11,11,11_7,Cd1,Anc,867,Sap-0,Cd1,39,43.2,6.3,364.9,210,FALSE
12,12,12_3,Drought,Anc,876,Sap-0,Drought,NA,32.3,1.6,197.5,78,FALSE
12,12,12_4,Nutrient2,Anc,891,Sap-0,Nutrient2,62,23.3,NA,162.2,149,FALSE
12,12,12_5,actr,Anc,910,Sap-0,actr2,58,43,8,197.2,192,FALSE
12,12,12_6,Leaf,Anc,921,Sap-0,Leaf,53,44,7,198.7,142,FALSE
12,12,12_7,Nutrient1,Anc,934,Sap-0,Nutrient1,48,44.5,8.8,126.7,97,FALSE
6,6,6_1,Leaf,Anc,942,Sap-0,Leaf,52,29.5,NA,124.5,169,FALSE
6,6,6_2,Nutrient1,Anc,962,Sap-0,Nutrient1,33,32.2,NA,27.8,66,FALSE
6,6,6_3,Drought,Anc,980,Sap-0,Drought,37,30.5,1.3,51.1,78,FALSE
6,6,6_5,Nutrient2,Anc,987,Sap-0,Nutrient2,36,37,NA,63.6,45,FALSE
6,6,6_7,actr,Anc,1005,Sap-0,actr2,33,NA,NA,75.9,NA,FALSE
1,1,1_1,JA,Anc,1,Tol-0,JA,67,55,10.4,678.8,200,FALSE
1,1,1_2,Salt1,Anc,18,Tol-0,Salt1,58,34.4,7.4,247.1,121,FALSE
1,1,1_3,Salt2,Anc,29,Tol-0,Salt2,NA,NA,NA,NA,NA,FALSE
1,1,1_4,Cd2,Anc,43,Tol-0,Cd2,NA,43,8.5,276.3,188,FALSE
1,1,1_5,actr,Anc,67,Tol-0,actr1,NA,48,12,577.2,228,FALSE
1,1,1_6,Cd1,Anc,81,Tol-0,Cd1,70,23.2,10.3,315.4,NA,FALSE
1,1,1_7,JActr,Anc,95,Tol-0,JActr,NA,27,12.5,616.3,0,FALSE
2,2,2_1,Nutrient2,Anc,99,Tol-0,Nutrient2,NA,31,12,756.2,13,FALSE
2,2,2_2,actr,Anc,122,Tol-0,actr2,67,53.2,9,501.5,273,FALSE
2,2,2_4,Drought,Anc,133,Tol-0,Drought,70,37,10.4,275.2,83,FALSE
2,2,2_5,Leaf,Anc,145,Tol-0,Leaf,NA,26,14.9,328.8,0,FALSE
2,2,2_6,Nutrient1,Anc,155,Tol-0,Nutrient1,65,46.7,10,208.6,78,FALSE
3,3,3_1,JA,Anc,169,Tol-0,JA,67,36.4,12.8,530,144,FALSE
3,3,3_2,Salt2,Anc,183,Tol-0,Salt2,NA,NA,9.5,184.3,NA,FALSE
3,3,3_3,Salt1,Anc,208,Tol-0,Salt1,58,44,9.6,285.2,106,FALSE
3,3,3_4,Cd2,Anc,217,Tol-0,Cd2,NA,61,NA,174.5,201,FALSE
3,3,3_5,actr,Anc,227,Tol-0,actr1,NA,50,11,467.3,112,FALSE
3,3,3_6,JActr,Anc,241,Tol-0,JActr,63,37.6,14,576.8,159,FALSE
3,3,3_7,Cd1,Anc,256,Tol-0,Cd1,NA,44,9.8,301.8,228,FALSE
4,4,4_1,Drought,Anc,267,Tol-0,Drought,NA,48.1,7.5,212.3,90,FALSE
4,4,4_3,Leaf,Anc,282,Tol-0,Leaf,65,42.2,10,286.9,90,FALSE
4,4,4_4,Nutrient1,Anc,305,Tol-0,Nutrient1,60,49.5,11,262.3,93,FALSE
4,4,4_6,actr,Anc,314,Tol-0,actr2,58,41.9,14,643.8,20,FALSE
4,4,4_7,Nutrient2,Anc,331,Tol-0,Nutrient2,NA,31,12.5,734.8,7,FALSE
5,5,5_1,Salt1,Anc,348,Tol-0,Salt1,NA,37.1,8.2,226.4,NA,FALSE
5,5,5_2,JActr,Anc,362,Tol-0,JActr,NA,36.6,10.2,280.4,NA,FALSE
5,5,5_3,Cd1,Anc,373,Tol-0,Cd1,56,37.2,10.5,320.7,2,FALSE
5,5,5_4,Cd2,Anc,389,Tol-0,Cd2,61,41.2,10.4,273.2,115,FALSE
5,5,5_5,JA,Anc,396,Tol-0,JA,59,44.5,12.6,743.6,200,FALSE
5,5,5_6,Salt2,Anc,416,Tol-0,Salt2,NA,NA,10,206.4,NA,FALSE
5,5,5_7,actr,Anc,429,Tol-0,actr1,66,47.6,10.6,799.9,131,FALSE
7,7,7_1,Cd2,Anc,435,Tol-0,Cd2,NA,18.6,7,147.7,NA,FALSE
7,7,7_2,Cd1,Anc,453,Tol-0,Cd1,NA,38,9,248.1,120,FALSE
7,7,7_3,JA,Anc,474,Tol-0,JA,64,43,6,NA,133,FALSE
7,7,7_4,actr,Anc,478,Tol-0,actr1,63,42.5,8,217.7,45,FALSE
7,7,7_5,Salt1,Anc,501,Tol-0,Salt1,50,41.5,9.8,239.8,85,FALSE
7,7,7_6,JActr,Anc,517,Tol-0,JActr,50,49.1,9.6,212.7,117,FALSE
7,7,7_7,Salt2,Anc,532,Tol-0,Salt2,52,28.2,8.4,227,43,FALSE
8,8,8_1,Drought,Anc,533,Tol-0,Drought,NA,NA,9,97.1,NA,FALSE
8,8,8_2,Nutrient1,Anc,547,Tol-0,Nutrient1,67,52.2,10.6,243.3,122,FALSE
8,8,8_3,Nutrient2,Anc,566,Tol-0,Nutrient2,NA,51.5,15,1059.9,323,FALSE
8,8,8_6,Leaf,Anc,578,Tol-0,Leaf,63,38.2,8.8,269.6,67,FALSE
8,8,8_7,actr,Anc,594,Tol-0,actr2,63,48.2,15.3,867.1,92,FALSE
9,9,9_1,actr,Anc,603,Tol-0,actr1,65,48.7,11.6,422.8,120,FALSE
9,9,9_2,Cd1,Anc,625,Tol-0,Cd1,67,28,NA,139.2,2,FALSE
9,9,9_3,Cd2,Anc,636,Tol-0,Cd2,58,43,7.8,194.4,57,FALSE
9,9,9_4,Salt1,Anc,654,Tol-0,Salt1,58,43.6,7.5,200.6,72,FALSE
9,9,9_5,Salt2,Anc,665,Tol-0,Salt2,55,37.9,8.8,179.8,43,FALSE
9,9,9_6,JA,Anc,678,Tol-0,JA,NA,45,9,583.8,180,FALSE
9,9,9_7,JActr,Anc,692,Tol-0,JActr,57,39.5,14.5,634.6,130,FALSE
10,10,10_1,actr,Anc,701,Tol-0,actr2,51,NA,NA,NA,NA,FALSE
10,10,10_2,Drought,Anc,725,Tol-0,Drought,NA,NA,8.2,95,NA,FALSE
10,10,10_3,Nutrient2,Anc,741,Tol-0,Nutrient2,60,39.2,14.2,893.8,131,FALSE
10,10,10_4,Leaf,Anc,745,Tol-0,Leaf,57,40,10.2,432,63,FALSE
10,10,10_5,Nutrient1,Anc,766,Tol-0,Nutrient1,55,44,8.5,95.2,44,FALSE
11,11,11_1,actr,Anc,771,Tol-0,actr1,51,54,13.4,676.1,278,FALSE
11,11,11_2,JActr,Anc,786,Tol-0,JActr,NA,32,12.7,489,13,FALSE
11,11,11_3,JA,Anc,803,Tol-0,JA,NA,58.2,14,901.6,372,FALSE
11,11,11_4,Cd2,Anc,818,Tol-0,Cd2,61,42,8.9,332.3,7,FALSE
11,11,11_5,Salt1,Anc,832,Tol-0,Salt1,46,41.1,8.7,225.4,91,FALSE
11,11,11_6,Salt2,Anc,853,Tol-0,Salt2,49,23.2,9.2,120.6,6,FALSE
11,11,11_7,Cd1,Anc,857,Tol-0,Cd1,64,43,7.6,315.2,70,FALSE
12,12,12_3,Drought,Anc,880,Tol-0,Drought,NA,35.2,10.6,447,17,FALSE
12,12,12_4,Nutrient2,Anc,884,Tol-0,Nutrient2,58,38.4,12.3,838.4,84,FALSE
12,12,12_5,actr,Anc,909,Tol-0,actr2,53,45.2,10.4,512.7,114,FALSE
12,12,12_6,Leaf,Anc,914,Tol-0,Leaf,58,48,8.7,296.9,132,FALSE
12,12,12_7,Nutrient1,Anc,925,Tol-0,Nutrient1,NA,22.5,NA,105.8,42,FALSE
6,6,6_1,Leaf,Anc,951,Tol-0,Leaf,69,26,15.1,776.5,0,FALSE
6,6,6_2,Nutrient1,Anc,960,Tol-0,Nutrient1,59,42,8.5,119.7,30,FALSE
6,6,6_3,Drought,Anc,976,Tol-0,Drought,63,49,9,597.2,191,FALSE
6,6,6_5,Nutrient2,Anc,992,Tol-0,Nutrient2,NA,33,15.5,857.1,15,FALSE
6,6,6_7,actr,Anc,999,Tol-0,actr2,62,48,15,947.6,247,FALSE
1,1,1_1,JA,Anc,12,TRE-1,JA,50,56.7,12.1,708.9,167,FALSE
1,1,1_2,Salt1,Anc,26,TRE-1,Salt1,39,43.3,12.5,319.1,136,FALSE
1,1,1_3,Salt2,Anc,33,TRE-1,Salt2,41,27.6,7,223.3,46,FALSE
1,1,1_4,Cd2,Anc,47,TRE-1,Cd2,NA,NA,NA,NA,NA,FALSE
1,1,1_5,actr,Anc,60,TRE-1,actr1,46,76,10.2,612.1,159,FALSE
1,1,1_6,Cd1,Anc,71,TRE-1,Cd1,NA,62.5,14.2,500.3,207,FALSE
1,1,1_7,JActr,Anc,90,TRE-1,JActr,50,56,14,589.8,176,FALSE
2,2,2_1,Nutrient2,Anc,109,TRE-1,Nutrient2,59,71.8,12.5,801.7,40,FALSE
2,2,2_2,actr,Anc,123,TRE-1,actr2,56,55,10.2,435.8,141,FALSE
2,2,2_4,Drought,Anc,128,TRE-1,Drought,62,52.8,13.3,483.2,229,FALSE
2,2,2_5,Leaf,Anc,151,TRE-1,Leaf,66,73.5,11.8,651,141,FALSE
2,2,2_6,Nutrient1,Anc,166,TRE-1,Nutrient1,42,57.4,8.7,211.8,130,FALSE
3,3,3_1,JA,Anc,178,TRE-1,JA,47,69,13.2,599.7,182,FALSE
3,3,3_2,Salt2,Anc,194,TRE-1,Salt2,58,20.4,10.5,299,NA,FALSE
3,3,3_3,Salt1,Anc,199,TRE-1,Salt1,53,41.1,7.7,248.8,54,FALSE
3,3,3_4,Cd2,Anc,223,TRE-1,Cd2,49,74,11,NA,130,FALSE
3,3,3_5,actr,Anc,234,TRE-1,actr1,35,49,6.5,331,254,FALSE
3,3,3_6,JActr,Anc,243,TRE-1,JActr,68,42.4,15,551.4,85,FALSE
3,3,3_7,Cd1,Anc,259,TRE-1,Cd1,67,69.1,11.1,468.9,240,FALSE
4,4,4_1,Drought,Anc,278,TRE-1,Drought,NA,NA,7.9,66.6,NA,FALSE
4,4,4_3,Leaf,Anc,294,TRE-1,Leaf,58,44.6,11.3,274.5,143,FALSE
4,4,4_4,Nutrient1,Anc,295,TRE-1,Nutrient1,35,60.6,10.5,173.5,151,FALSE
4,4,4_6,actr,Anc,309,TRE-1,actr2,40,49.5,11.6,512.3,172,FALSE
4,4,4_7,Nutrient2,Anc,336,TRE-1,Nutrient2,39,39.5,6.5,327,15,FALSE
5,5,5_1,Salt1,Anc,349,TRE-1,Salt1,49,45.2,11.2,310,126,FALSE
5,5,5_2,JActr,Anc,359,TRE-1,JActr,37,50.7,10,510.7,282,FALSE
5,5,5_3,Cd1,Anc,378,TRE-1,Cd1,NA,51.3,10,279.9,83,FALSE
5,5,5_4,Cd2,Anc,392,TRE-1,Cd2,50,44.5,9,289.3,NA,FALSE
5,5,5_5,JA,Anc,405,TRE-1,JA,38,49.4,13.7,734.6,352,FALSE
5,5,5_6,Salt2,Anc,414,TRE-1,Salt2,40,37.7,11.5,368.5,83,FALSE
5,5,5_7,actr,Anc,421,TRE-1,actr1,42,45.6,14.5,792.7,108,FALSE
7,7,7_1,Cd2,Anc,446,TRE-1,Cd2,45,57.2,9.2,281.3,55,FALSE
7,7,7_2,Cd1,Anc,458,TRE-1,Cd1,38,66,9.6,360.4,40,FALSE
7,7,7_3,JA,Anc,471,TRE-1,JA,45,55,8.3,241.4,92,FALSE
7,7,7_4,actr,Anc,480,TRE-1,actr1,38,74.8,8.3,276.3,251,FALSE
7,7,7_5,Salt1,Anc,499,TRE-1,Salt1,45,37,8.4,111.7,104,FALSE
7,7,7_6,JActr,Anc,505,TRE-1,JActr,70,16.4,8,259.4,NA,FALSE
7,7,7_7,Salt2,Anc,529,TRE-1,Salt2,41,30.1,9.2,193.9,46,FALSE
8,8,8_1,Drought,Anc,544,TRE-1,Drought,66,58,12,699.4,283,FALSE
8,8,8_2,Nutrient1,Anc,555,TRE-1,Nutrient1,39,82,9,210.3,191,FALSE
8,8,8_3,Nutrient2,Anc,564,TRE-1,Nutrient2,48,45.1,10.3,NA,NA,FALSE
8,8,8_6,Leaf,Anc,580,TRE-1,Leaf,57,57.6,11.5,516.4,88,FALSE
8,8,8_7,actr,Anc,595,TRE-1,actr2,43,49.3,12.2,786.9,147,FALSE
9,9,9_1,actr,Anc,614,TRE-1,actr1,NA,50,10,219.7,129,FALSE
9,9,9_2,Cd1,Anc,629,TRE-1,Cd1,59,36,10,339.8,66,FALSE
9,9,9_3,Cd2,Anc,632,TRE-1,Cd2,57,28.7,NA,52,48,FALSE
9,9,9_4,Salt1,Anc,653,TRE-1,Salt1,61,28.7,7,199.3,93,FALSE
9,9,9_5,Salt2,Anc,659,TRE-1,Salt2,NA,NA,NA,NA,NA,FALSE
9,9,9_6,JA,Anc,681,TRE-1,JA,NA,NA,15.8,436.7,NA,FALSE
9,9,9_7,JActr,Anc,700,TRE-1,JActr,43,46.7,13,614.8,75,FALSE
10,10,10_1,actr,Anc,712,TRE-1,actr2,47,57,9.1,312.8,113,FALSE
10,10,10_2,Drought,Anc,722,TRE-1,Drought,70,30.5,8,272.9,18,FALSE
10,10,10_3,Nutrient2,Anc,731,TRE-1,Nutrient2,58,33.9,13.3,688.9,35,FALSE
10,10,10_4,Leaf,Anc,754,TRE-1,Leaf,42,36.2,7.6,250.6,159,FALSE
10,10,10_5,Nutrient1,Anc,760,TRE-1,Nutrient1,60,27.8,9,290.5,70,FALSE
11,11,11_1,actr,Anc,782,TRE-1,actr1,47,41.5,11.6,783,114,FALSE
11,11,11_2,JActr,Anc,788,TRE-1,JActr,43,30.5,6,211.4,19,FALSE
11,11,11_3,JA,Anc,808,TRE-1,JA,40,47.5,13.2,852.2,100,FALSE
11,11,11_4,Cd2,Anc,816,TRE-1,Cd2,40,65.8,8.4,277.3,129,FALSE
11,11,11_5,Salt1,Anc,839,TRE-1,Salt1,31,44,4.5,110.3,82,FALSE
